FCTLOG	SerialNumber	CUS	TestTime	Column1	Status	TEXT1	TEXT2	TEXT3	TEXT4	OPNAME	TestTime
FCTLOG	3ABD00045053W2257129SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257135SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257139SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257147SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257149SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257152SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257153SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257154SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257157SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257158SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257159SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257203SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257205SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257307SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257308SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257311SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257317SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257331SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257332SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257341SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257367SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257368SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257386SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257389SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257397SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257407SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257415SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257418SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257427SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257428SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257430SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257431SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257432SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257436SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257527SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257671SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257672SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257759SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
