FCTLOG,Serial Number,CUSTOMER,TIME_DATE,PROJECT,RESULT,TEXT1,TEXT2,TEXT3,TEXT4,OPNAME,CDATE
FCTLOG,9977;20224854-0072;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:44:43,51.0592024,,FCT1,
FCTLOG,9977;20224854-0186;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:45:45,48.7818224,,FCT1,
FCTLOG,9977;20224854-0181;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:49:53,48.9865277,,FCT1,
FCTLOG,9977;20224854-0190;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:50:58,48.6525184,,FCT1,
FCTLOG,9977;20224854-0183;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:52:37,48.8249869,,FCT1,
FCTLOG,9977;20224854-0184;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:53:43,49.0576943,,FCT1,
FCTLOG,9977;20224854-0284;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:54:58,49.8325924,,FCT1,
FCTLOG,9977;20224854-0288;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:56:20,48.7325023,,FCT1,
FCTLOG,9977;20224854-0185;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:57:22,50.3819135,,FCT1,
FCTLOG,9977;20224854-0282;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:58:36,48.6919665,,FCT1,
FCTLOG,9977;20224854-0278;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:59:57,48.7520811,,FCT1,
FCTLOG,9977;20224854-0280;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:01:08,49.28307,,FCT1,
FCTLOG,9977;20224854-0281;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:02:08,48.2151746,,FCT1,
FCTLOG,9977;20224854-0275;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:03:12,48.1056255,,FCT1,
FCTLOG,9977;20224854-0283;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:04:16,47.9987247,,FCT1,
FCTLOG,9977;20224854-0279;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:05:15,48.2622405,,FCT1,
FCTLOG,9977;20224854-0276;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:06:17,48.1710792,,FCT1,
FCTLOG,9977;20224854-0289;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:07:16,48.4028063,,FCT1,
FCTLOG,9977;20224854-0274;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:08:15,48.0859813,,FCT1,
FCTLOG,9977;20224854-0286;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:09:15,48.2691417,,FCT1,
FCTLOG,9977;20224854-0285;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:10:15,48.2139613,,FCT1,
FCTLOG,9977;20224854-0277;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:11:14,48.2476249,,FCT1,
FCTLOG,9977;20224854-0273;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:12:14,48.27837,,FCT1,
FCTLOG,9977;20224854-0287;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:13:49,48.3837823,,FCT1,
FCTLOG,9977;20224854-0290;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:15:00,48.754824,,FCT1,
